0.0	39.9997333351
0.001	39.9994666791
0.002	39.9992000391
0.003	39.9989334222
0.004	39.9986668355
0.005	39.9984002862
0.006	39.9981337813
0.007	39.9978673279
0.008	39.9976009332
0.009	39.9973346043
0.01	39.9970683482
0.011	39.996802172
0.012	39.9965360829
0.013	39.996270088
0.014	39.9960041943
0.015	39.9957384089
0.016	39.9954727389
0.017	39.9952071915
0.018	39.9949417736
0.019	39.9946764924
0.02	39.994411355
0.021	39.9941463683
0.022	39.9938815395
0.023	39.9936168757
0.024	39.9933523838
0.025	39.993088071
0.026	39.9928239443
0.027	39.9925600108
0.028	39.9922962774
0.029	39.9920327512
0.03	39.9917694392
0.031	39.9915063486
0.032	39.9912434862
0.033	39.990980859
0.034	39.9907184742
0.035	39.9904563386
0.036	39.9901944594
0.037	39.9899328433
0.038	39.9896714976
0.039	39.989410429
0.04	39.9891496446
0.041	39.9888891513
0.042	39.988628956
0.043	39.9883690658
0.044	39.9881094875
0.045	39.9878502281
0.046	39.9875912945
0.047	39.9873326935
0.048	39.9870744321
0.049	39.9868165171
0.05	39.9865589555
0.051	39.9863017541
0.052	39.9860449197
0.053	39.9857884593
0.054	39.9855323796
0.055	39.9852766875
0.056	39.9850213898
0.057	39.9847664933
0.058	39.9845120048
0.059	39.9842579311
0.06	39.984004279
0.061	39.9837510552
0.062	39.9834982665
0.063	39.9832459196
0.064	39.9829940212
0.065	39.9827425782
0.066	39.982491597
0.067	39.9822410846
0.068	39.9819910475
0.069	39.9817414925
0.07	39.9814924261
0.071	39.981243855
0.072	39.9809957858
0.073	39.9807482252
0.074	39.9805011798
0.075	39.9802546561
0.076	39.9800086607
0.077	39.9797632002
0.078	39.9795182812
0.079	39.9792739101
0.08	39.9790300934
0.081	39.9787868378
0.082	39.9785441496
0.083	39.9783020353
0.084	39.9780605014
0.085	39.9778195544
0.086	39.9775792006
0.087	39.9773394464
0.088	39.9771002984
0.089	39.9768617627
0.09	39.9766238459
0.091	39.9763865542
0.092	39.976149894
0.093	39.9759138715
0.094	39.9756784932
0.095	39.9754437651
0.096	39.9752096937
0.097	39.9749762851
0.098	39.9747435457
0.099	39.9745114814
0.1	39.9742800987
0.101	39.9740494036
0.102	39.9738194023
0.103	39.9735901009
0.104	39.9733615056
0.105	39.9731336224
0.106	39.9729064574
0.107	39.9726800167
0.108	39.9724543063
0.109	39.9722293322
0.11	39.9720051005
0.111	39.971781617
0.112	39.9715588878
0.113	39.9713369189
0.114	39.971115716
0.115	39.9708952852
0.116	39.9706756323
0.117	39.9704567631
0.118	39.9702386836
0.119	39.9700213994
0.12	39.9698049165
0.121	39.9695892405
0.122	39.9693743773
0.123	39.9691603325
0.124	39.9689471119
0.125	39.9687347211
0.126	39.9685231659
0.127	39.9683124518
0.128	39.9681025845
0.129	39.9678935696
0.13	39.9676854126
0.131	39.9674781191
0.132	39.9672716946
0.133	39.9670661447
0.134	39.9668614748
0.135	39.9666576904
0.136	39.9664547968
0.137	39.9662527996
0.138	39.9660517041
0.139	39.9658515156
0.14	39.9656522396
0.141	39.9654538812
0.142	39.9652564459
0.143	39.9650599388
0.144	39.9648643653
0.145	39.9646697305
0.146	39.9644760396
0.147	39.9642832977
0.148	39.9640915101
0.149	39.9639006819
0.15	39.963710818
0.151	39.9635219237
0.152	39.9633340038
0.153	39.9631470635
0.154	39.9629611078
0.155	39.9627761415
0.156	39.9625921696
0.157	39.962409197
0.158	39.9622272287
0.159	39.9620462694
0.16	39.9618663239
0.161	39.9616873972
0.162	39.9615094938
0.163	39.9613326187
0.164	39.9611567765
0.165	39.9609819719
0.166	39.9608082095
0.167	39.960635494
0.168	39.96046383
0.169	39.9602932221
0.17	39.9601236748
0.171	39.9599551927
0.172	39.9597877802
0.173	39.9596214418
0.174	39.9594561819
0.175	39.959292005
0.176	39.9591289154
0.177	39.9589669175
0.178	39.9588060155
0.179	39.9586462139
0.18	39.9584875168
0.181	39.9583299284
0.182	39.9581734531
0.183	39.9580180949
0.184	39.9578638579
0.185	39.9577107464
0.186	39.9575587644
0.187	39.9574079159
0.188	39.957258205
0.189	39.9571096357
0.19	39.9569622118
0.191	39.9568159375
0.192	39.9566708164
0.193	39.9565268526
0.194	39.9563840499
0.195	39.956242412
0.196	39.9561019427
0.197	39.9559626459
0.198	39.9558245251
0.199	39.9556875842
0.2	39.9555518267
0.201	39.9554172562
0.202	39.9552838764
0.203	39.9551516908
0.204	39.9550207029
0.205	39.9548909163
0.206	39.9547623343
0.207	39.9546349605
0.208	39.9545087982
0.209	39.9543838507
0.21	39.9542601214
0.211	39.9541376137
0.212	39.9540163307
0.213	39.9538962757
0.214	39.953777452
0.215	39.9536598626
0.216	39.9535435107
0.217	39.9534283995
0.218	39.9533145319
0.219	39.953201911
0.22	39.9530905399
0.221	39.9529804215
0.222	39.9528715587
0.223	39.9527639544
0.224	39.9526576115
0.225	39.9525525329
0.226	39.9524487213
0.227	39.9523461796
0.228	39.9522449103
0.229	39.9521449164
0.23	39.9520462003
0.231	39.9519487648
0.232	39.9518526124
0.233	39.9517577457
0.234	39.9516641672
0.235	39.9515718795
0.236	39.951480885
0.237	39.9513911861
0.238	39.9513027852
0.239	39.9512156847
0.24	39.9511298869
0.241	39.951045394
0.242	39.9509622084
0.243	39.9508803322
0.244	39.9507997677
0.245	39.9507205169
0.246	39.950642582
0.247	39.9505659652
0.248	39.9504906683
0.249	39.9504166934
0.25	39.9503440426
0.251	39.9502727177
0.252	39.9502027206
0.253	39.9501340532
0.254	39.9500667174
0.255	39.9500007149
